Sentence,Source CM
It is often lower than the return earned before retirement due to more conservative investment choices to help insure a steady flow of income.,Body of Water/Movement
"On the other side of the paradox, more people keeping and bearing arms means there's a larger constituency to fight new gun control, so I'm not certain it really helps our opponents any.",Struggle
"Perry argues that gun control sells the false premise that it is solving a problem, when all it does is make it more difficult for law-abiding citizens to defend themselves.",Business
"Nobody ever gets elected to any political office whatsoever unless he or she is hand-picked by a bunch of Jews and subscribes wholeheartedly to a complex agenda that preserves and protects the State of Israel at all costs, keeps Jews in complete control of all media and entertainment, turns the suffering of six billion slaves into mountains of money for Nazi conglomerates and keeps ordinary consumers brainwashed out of their poor, stupid minds.",Hazardous Geographic Feature
"Of course, framing and populism might very well have to do with the success of guns and restaurants compared to underfunded software developers who find themselves under attack by the nazis in the entertainment industry who desperately want to keep up their immoral, unethical, and even illegal business practices.",Competition
Gun control snuffs out another innocent victim.,Darkness
"When government robs capital from investors in the form of high taxes, it takes away the money that creates jobs.",Crime/Theft
They also serve to improve and strengthen the judiciary by creating in judges a greater awareness of proper judicial behavior.,Building/Strength
People on both sides of gun control say some of these reasons why gun violence is an issue today are global news and technological advancement of guns.,Forward Movement
"Gun rights aren't the worst of it, this isn't a battle of gun rights anymore, it's a bigger battle of catering to the weak and those who choose not to do for themselves, but rather the government do it for them.",War
"However, Government actions, such as strengthening taxation on foreign oil companies, nationalisation of four huge heavy-oil joint ventures in the Orinoco oil basin and intensifying controls on the economy are generating concerns for many potential investors.",Building/Strength
"Listen puppies, Your Mama don't begrudge Mister Perry his screaming success and we allow that people with fat bank accounts are free to live any which way their mountains of money will buy.",Hazardous Geographic Feature
Harvey Weinstein: I'm Working on Movie With Meryl Streep to Destroy the NRA,Physical Harm
"As the government overdoses on power, it reacts, takes over, advancing to levels of control that we would have resisted not too long ago.",Addiction
"That puts us that much further ahead in our wealth journey because he's got the experience, he's got great staff and he knows all the geography.",Journey
