,Sentence,metaphore,target_domain,source_domain,highlighted_aspect,PartOf,Causes,IsA,DefinedAs
500,"In short, the whole thing turned into a vast money hole into which the Pentagon poured billions.",hole,Wealth,Abyss,Barrier,"[' in debt', ' get rich', ' money is wasted']","[' in debt', ' in debt to the government', ' in need of more money']","[' in debt', ' get rich', ' money']","[' in debt', ' money', ' get rich']"
501,"I don't think anyone these days seriously suggests that the wealthy are inherently evil just like no one believes Blacks are inherently shiftless, lazy, lying, cheating, ignorant, sex crazed and drug addled.",evil,Wealth,Monster,Threat,"[' none', ' no effect', ' no one cares']","[' none', ' no effect', ' no one cares']","[' none', ' no effect', ' no one cares']","[' none', ' no one', ' no one cares']"
502,The Gun Laws Supported By Giron And Morse Are Popular Statewide.,Supported,Control of Guns,Building,Component,"[' the law to be enforced', ' the law to be followed', ' none']","[' the gun laws are popular', ' the gun laws are supported', ' the gun laws are being enforced']","[' the law to be enforced', ' the law to be passed', ' the law to be respected']","[' the law to be enforced', ' the law to be followed', ' the law to be respected']"
503,The 113th Congress is a beacon of hope for women like me who have been waiting for stronger representation in government for years now.,beacon,Government,Light,Entity,"[' the first woman to lead the country', ' the first woman to be elected president', ' the first female president']","[' hopeful', ' powerful', ' strong']","[' hopeful', ' powerful', ' hopeful.']","[' the first woman to be elected president of the United States', ' the first woman to be elected president of the United States.', ' the first woman to be elected president of the United States of America']"
504,Which means that gun control did NOT decrease the murder rate... Oh wait.. you even realize it.,decrease,Control of Guns,Downward Movement,Protection,"[' none', ' murder rate goes down', ' murder rate goes up']","[' none', ' murder rate goes down', ' murder rate goes up']","[' murder rate goes down', ' none', ' murder rate goes up']","[' none', ' murder rate goes down', ' murder rate goes up']"
505,Poverty is destroying lives and communities.,destroying,Poverty,Physical Harm,Threat,"[' none', ' people die', ' people are poor']","[' Poverty is a disease.', ' Poverty is immoral.', ' Poverty is not a crime.']","[' poor people', ' poverty', ' poor']","[' get a job', ' people to die', ' people to be poor']"
506,"Home / Featured / The War Against Work And Wealth The War Against Work And Wealth Work produces wealth; less work means less wealth, and also less upward mobility for those who drop out of the labor force.",produces,Wealth,Factory,Product,"[' PersonX has to find a new job.', ' none', ' PersonX has to find a new job']","[' The war against work and wealth is a war on the poor.', ' The war against work and wealth is immoral and immoral.', ' The war against work and wealth is immoral.']","[' The war against work and wealth is immoral.', ' The war against work and wealth is immoral and immoral.', ' The war against work and wealth is a good thing.']","[' none', ' PersonX is unemployed.', ' PersonX gets a job.']"
507,"According to the free market ideology, the best way to fight global hunger and improve the economic situation of farmers in developing countries is through trade and investment liberalization, production for export, and cuts in domestic support.",fight,Poverty,Struggle/War,Enemy,"[' none', ' have less food to eat', ' have less money to buy food']","[' according to free market ideology', ' according to the free market ideology', ' according to the free market ideology.']","[' free market', ' free market economy', ' none']","[' get rich', ' none', ' get a job']"
508,"Ah well, this election is still young.",young,Elections,Life Stage,Entity,"[' none', ' get a new job', ' people vote for them']","[' The election is over.', ' the election is not over yet', ' the election is over']","[' people to vote for them', ' people to vote for', ' none']","[' get a new job', ' none', ' get a job']"
509,that claim destroys your prior argument that the second amendment protects no gun nor any class of firearms,protects,Guns,Protection,Threatened,"[' none', ' have to defend themselves', ' have to defend their rights']","[' that is not true', ' that is a lie', ' that is not the case']","[' none', ' that is not true', ' that is a lie']","[' none', ' have to defend themselves', ' have to defend their rights']"
510,"In no way do our efforts challenge the right to bear arms.""",challenge,Gun Rights,Competition,Threatened,"[' in no way do our efforts challenge the right to bear arms', ' in no way do our efforts challenge the right to bear arms.', ' in no way challenge the right to bear arms']","[' in no way do our efforts challenge the right to bear arms', ' in no way do our efforts challenge the right to bear arms.', ' in no way do we challenge the right to bear arms']","[' in no way do our efforts challenge the right to bear arms', ' in no way do our efforts challenge the right to bear arms.', ' in no way do we challenge the right to bear arms']","[' in no way do our efforts challenge the right to bear arms', ' in no way do our efforts challenge the right to bear arms.', ' in no way challenge the right to bear arms']"
511,"Now that Virginia has decided to ration gun rights to one handgun per month, should West Virginia follow suit?",ration,Gun Rights,Resource,Resource,"[' have less money', ' have to buy a gun', ' none']","[' gun control', ' gun control laws', ' gun violence']","[' gun control', ' gun control group', ' gun control laws']","[' gun control', ' gun control laws', ' gun rights']"
512,"Wealth cures the former, but you don't get lasting wealth without curing the latter and providing a liberal application of the cheapest energy you can get.",cures,Wealth,Disease/Medicine,Protection,"[' none', ' get rich', ' get a job']","[' rich', ' wealthy', ' happy']","[' we need to save money for a rainy day', ' we need to save money for the future', ' we need to save money for the future.']","[' none', ' money', ' wean']"
513,In a world where poverty competes with corruption for tax-payer and gambler (lotto's) money there are innocent victims caught in the cross-fire.,competes,Poverty,Competition,Conflict,"[' none', ' lose money', ' get rich']","[' poor', ' immoral', ' corrupt']","[' in need of help', ' in need of assistance', ' in need of money']","[' none', ' get rich', ' inhumane']"
